_id,Ministry,Ministere,Agency,Organisme,Position,Poste,Member / Membre,Term Start / Debut du mandat,Term End / Fin du mandat,Location / Emplacement
3404,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Centennial Centre of Science and Technology (Ontario Science Centre),Centre Centennial Des Sciences Et De La Technologie (Centre Des Sciences De L'ontario),Member (Part-Time),Membre (Temps Partiel),Julian DiBattista,2022-02-28,2025-02-27T00:00:00,Hamilton
3405,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Centennial Centre of Science and Technology (Ontario Science Centre),Centre Centennial Des Sciences Et De La Technologie (Centre Des Sciences De L'ontario),Member (Part-Time),Membre (Temps Partiel),Tina Yuan,2022-03-04,2025-03-03T00:00:00,Toronto
3406,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Centennial Centre of Science and Technology (Ontario Science Centre),Centre Centennial Des Sciences Et De La Technologie (Centre Des Sciences De L'ontario),Member (Part-Time),Membre (Temps Partiel),Janis Field,2022-04-04,2025-04-03T00:00:00,TORONTO
3407,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Centennial Centre of Science and Technology (Ontario Science Centre),Centre Centennial Des Sciences Et De La Technologie (Centre Des Sciences De L'ontario),Member (Part-Time),Membre (Temps Partiel),,,,
3408,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Centennial Centre of Science and Technology (Ontario Science Centre),Centre Centennial Des Sciences Et De La Technologie (Centre Des Sciences De L'ontario),Member (Part-Time),Membre (Temps Partiel),,,,
3409,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Centennial Centre of Science and Technology (Ontario Science Centre),Centre Centennial Des Sciences Et De La Technologie (Centre Des Sciences De L'ontario),Member (Part-Time),Membre (Temps Partiel),,,,
3410,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Centennial Centre of Science and Technology (Ontario Science Centre),Centre Centennial Des Sciences Et De La Technologie (Centre Des Sciences De L'ontario),Member (Part-Time),Membre (Temps Partiel),,,,
3411,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Centennial Centre of Science and Technology (Ontario Science Centre),Centre Centennial Des Sciences Et De La Technologie (Centre Des Sciences De L'ontario),Member (Part-Time),Membre (Temps Partiel),,,,
3412,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Centennial Centre of Science and Technology (Ontario Science Centre),Centre Centennial Des Sciences Et De La Technologie (Centre Des Sciences De L'ontario),Member (Part-Time),Membre (Temps Partiel),,,,
3413,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Centennial Centre of Science and Technology (Ontario Science Centre),Centre Centennial Des Sciences Et De La Technologie (Centre Des Sciences De L'ontario),Member (Part-Time),Membre (Temps Partiel),,,,
3414,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Centennial Centre of Science and Technology (Ontario Science Centre),Centre Centennial Des Sciences Et De La Technologie (Centre Des Sciences De L'ontario),Member (Part-Time),Membre (Temps Partiel),,,,
3415,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Algoma, Cochrane, Manitoulin and Sudbury - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Algoma, Cochrane, Manitoulin Et Sudbury - Fondation",Chair (Part-Time),Présidence (Temps Partiel),Shawn Ouimet,2022-11-24,2023-04-20T00:00:00,Val Caron
3416,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Algoma, Cochrane, Manitoulin and Sudbury - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Algoma, Cochrane, Manitoulin Et Sudbury - Fondation",Member (Part-Time),Membre (Temps Partiel),Kerry Latham,2020-04-21,2023-04-20T00:00:00,Sudbury
3417,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Algoma, Cochrane, Manitoulin and Sudbury - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Algoma, Cochrane, Manitoulin Et Sudbury - Fondation",Member (Part-Time),Membre (Temps Partiel),Michael Di Salle,2020-04-21,2023-04-20T00:00:00,Sudbury
3418,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Algoma, Cochrane, Manitoulin and Sudbury - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Algoma, Cochrane, Manitoulin Et Sudbury - Fondation",Member (Part-Time),Membre (Temps Partiel),Shawn Ouimet,2020-04-21,2023-04-20T00:00:00,Val Caron
3419,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Algoma, Cochrane, Manitoulin and Sudbury - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Algoma, Cochrane, Manitoulin Et Sudbury - Fondation",Member (Part-Time),Membre (Temps Partiel),Patrick Parker,2020-06-17,2023-06-16T00:00:00,Espanola
3420,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Algoma, Cochrane, Manitoulin and Sudbury - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Algoma, Cochrane, Manitoulin Et Sudbury - Fondation",Member (Part-Time),Membre (Temps Partiel),Robert Sinclair,2020-06-17,2023-06-16T00:00:00,Espanola
3421,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Algoma, Cochrane, Manitoulin and Sudbury - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Algoma, Cochrane, Manitoulin Et Sudbury - Fondation",Member (Part-Time),Membre (Temps Partiel),shawn poland,2020-06-17,2023-06-16T00:00:00,sudbury
3422,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Algoma, Cochrane, Manitoulin and Sudbury - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Algoma, Cochrane, Manitoulin Et Sudbury - Fondation",Member (Part-Time),Membre (Temps Partiel),Steve Kidd,2020-06-17,2023-06-16T00:00:00,Timmins
3423,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Algoma, Cochrane, Manitoulin and Sudbury - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Algoma, Cochrane, Manitoulin Et Sudbury - Fondation",Member (Part-Time),Membre (Temps Partiel),Andre Grandchamp,2020-07-15,2023-07-14T00:00:00,Azilda
3424,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Algoma, Cochrane, Manitoulin and Sudbury - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Algoma, Cochrane, Manitoulin Et Sudbury - Fondation",Member (Part-Time),Membre (Temps Partiel),Mary Dawson-Cole,2020-12-16,2023-12-15T00:00:00,Sudbury
3425,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Algoma, Cochrane, Manitoulin and Sudbury - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Algoma, Cochrane, Manitoulin Et Sudbury - Fondation",Member (Part-Time),Membre (Temps Partiel),Dawna Kinnunen,2021-01-08,2024-01-07T00:00:00,SAULT STE. MARIE
3426,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Algoma, Cochrane, Manitoulin and Sudbury - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Algoma, Cochrane, Manitoulin Et Sudbury - Fondation",Member (Part-Time),Membre (Temps Partiel),Jack Rice,2021-01-08,2024-01-07T00:00:00,Sault Ste. Marie
3427,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Algoma, Cochrane, Manitoulin and Sudbury - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Algoma, Cochrane, Manitoulin Et Sudbury - Fondation",Member (Part-Time),Membre (Temps Partiel),Robert Reid,2021-01-08,2024-01-07T00:00:00,Sault Ste. Marie
3428,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Algoma, Cochrane, Manitoulin and Sudbury - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Algoma, Cochrane, Manitoulin Et Sudbury - Fondation",Member (Part-Time),Membre (Temps Partiel),LeeAnn Pettenuzzo,2021-02-04,2024-02-03T00:00:00,S STE MARIE
3429,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Algoma, Cochrane, Manitoulin and Sudbury - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Algoma, Cochrane, Manitoulin Et Sudbury - Fondation",Member (Part-Time),Membre (Temps Partiel),Myles MacLeod,2021-02-04,2024-02-03T00:00:00,Sudbury
3430,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Algoma, Cochrane, Manitoulin and Sudbury - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Algoma, Cochrane, Manitoulin Et Sudbury - Fondation",Member (Part-Time),Membre (Temps Partiel),John Rossi,2021-04-16,2024-04-15T00:00:00,Sault Ste. Marie
3431,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Algoma, Cochrane, Manitoulin and Sudbury - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Algoma, Cochrane, Manitoulin Et Sudbury - Fondation",Member (Part-Time),Membre (Temps Partiel),Magda Walker,2021-04-16,2024-04-15T00:00:00,SAULT STE. MARIE
3432,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Algoma, Cochrane, Manitoulin and Sudbury - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Algoma, Cochrane, Manitoulin Et Sudbury - Fondation",Member (Part-Time),Membre (Temps Partiel),Sean Sparling,2021-04-16,2024-04-15T00:00:00,Sault Ste. Marie
3433,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Grant Review Team - Champlain - Ontario Trillium Foundation,Équipe D'évaluation Des Demandes De Subvention - Champlain - Fondation Trillium De L'ontario,Chair (Part-Time),Présidence (Temps Partiel),DARRELL BARTRAW,2022-05-22,2023-05-19T00:00:00,Ottawa
3434,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Grant Review Team - Champlain - Ontario Trillium Foundation,Équipe D'évaluation Des Demandes De Subvention - Champlain - Fondation Trillium De L'ontario,Member (Part-Time),Membre (Temps Partiel),Jordon Wheeler,2020-05-04,2023-05-03T00:00:00,Cornwall
3435,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Grant Review Team - Champlain - Ontario Trillium Foundation,Équipe D'évaluation Des Demandes De Subvention - Champlain - Fondation Trillium De L'ontario,Member (Part-Time),Membre (Temps Partiel),Carol Miller,2020-06-17,2023-06-16T00:00:00,Ottawa
3436,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Grant Review Team - Champlain - Ontario Trillium Foundation,Équipe D'évaluation Des Demandes De Subvention - Champlain - Fondation Trillium De L'ontario,Member (Part-Time),Membre (Temps Partiel),charlie Cuffari,2020-06-17,2023-06-16T00:00:00,Ottawa
3437,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Grant Review Team - Champlain - Ontario Trillium Foundation,Équipe D'évaluation Des Demandes De Subvention - Champlain - Fondation Trillium De L'ontario,Member (Part-Time),Membre (Temps Partiel),Menahem Blum,2020-06-17,2023-06-16T00:00:00,Ottawa
3438,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Grant Review Team - Champlain - Ontario Trillium Foundation,Équipe D'évaluation Des Demandes De Subvention - Champlain - Fondation Trillium De L'ontario,Member (Part-Time),Membre (Temps Partiel),Jatinder Chadha,2020-07-15,2023-07-14T00:00:00,OTTAWA
3439,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Grant Review Team - Champlain - Ontario Trillium Foundation,Équipe D'évaluation Des Demandes De Subvention - Champlain - Fondation Trillium De L'ontario,Member (Part-Time),Membre (Temps Partiel),Anver Malam,2020-11-10,2023-11-09T00:00:00,Ottawa
3440,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Grant Review Team - Champlain - Ontario Trillium Foundation,Équipe D'évaluation Des Demandes De Subvention - Champlain - Fondation Trillium De L'ontario,Member (Part-Time),Membre (Temps Partiel),Cheryl A. Cooper,2020-11-10,2023-11-09T00:00:00,Metcalfe
3441,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Grant Review Team - Champlain - Ontario Trillium Foundation,Équipe D'évaluation Des Demandes De Subvention - Champlain - Fondation Trillium De L'ontario,Member (Part-Time),Membre (Temps Partiel),Doug Thompson,2020-11-10,2023-11-09T00:00:00,Greely
3442,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Grant Review Team - Champlain - Ontario Trillium Foundation,Équipe D'évaluation Des Demandes De Subvention - Champlain - Fondation Trillium De L'ontario,Member (Part-Time),Membre (Temps Partiel),Gary Thomas,2020-11-10,2023-11-09T00:00:00,Nepean
3443,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Grant Review Team - Champlain - Ontario Trillium Foundation,Équipe D'évaluation Des Demandes De Subvention - Champlain - Fondation Trillium De L'ontario,Member (Part-Time),Membre (Temps Partiel),Kurt Stoodley,2020-11-10,2023-11-09T00:00:00,Nepean
3444,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Grant Review Team - Champlain - Ontario Trillium Foundation,Équipe D'évaluation Des Demandes De Subvention - Champlain - Fondation Trillium De L'ontario,Member (Part-Time),Membre (Temps Partiel),Salima Ismail,2021-06-02,2024-06-01T00:00:00,Ottawa
3445,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Grant Review Team - Champlain - Ontario Trillium Foundation,Équipe D'évaluation Des Demandes De Subvention - Champlain - Fondation Trillium De L'ontario,Member (Part-Time),Membre (Temps Partiel),Cheryl Reid,2022-11-24,2025-11-23T00:00:00,Barry's Bay
3446,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Grant Review Team - Champlain - Ontario Trillium Foundation,Équipe D'évaluation Des Demandes De Subvention - Champlain - Fondation Trillium De L'ontario,Member (Part-Time),Membre (Temps Partiel),Paul St-Onge,2022-11-24,2025-11-23T00:00:00,Long Sault
3447,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Durham, Haliburton, Kawartha and Pine Ridge - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Durham, Haliburton, Kawartha Et Pine Ridge - Fondat",Chair (Part-Time),Présidence (Temps Partiel),David Saunders,2022-02-25,2023-02-24T00:00:00,Ajax
3448,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Durham, Haliburton, Kawartha and Pine Ridge - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Durham, Haliburton, Kawartha Et Pine Ridge - Fondat",Member (Part-Time),Membre (Temps Partiel),Benjamin Currelly,2020-02-28,2023-02-27T00:00:00,PORT HOPE
3449,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Durham, Haliburton, Kawartha and Pine Ridge - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Durham, Haliburton, Kawartha Et Pine Ridge - Fondat",Member (Part-Time),Membre (Temps Partiel),Elizabeth Finnie-Hunt,2020-02-28,2023-02-27T00:00:00,Port Hope
3450,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Durham, Haliburton, Kawartha and Pine Ridge - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Durham, Haliburton, Kawartha Et Pine Ridge - Fondat",Member (Part-Time),Membre (Temps Partiel),Mathew Stephenson,2020-03-13,2023-03-12T00:00:00,Orono
3451,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Durham, Haliburton, Kawartha and Pine Ridge - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Durham, Haliburton, Kawartha Et Pine Ridge - Fondat",Member (Part-Time),Membre (Temps Partiel),Thomas Rowden,2020-04-01,2023-03-31T00:00:00,Peterborough
3452,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Durham, Haliburton, Kawartha and Pine Ridge - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Durham, Haliburton, Kawartha Et Pine Ridge - Fondat",Member (Part-Time),Membre (Temps Partiel),Michael  Tucker,2020-09-02,2023-09-01T00:00:00,Whitby
3453,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Durham, Haliburton, Kawartha and Pine Ridge - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Durham, Haliburton, Kawartha Et Pine Ridge - Fondat",Member (Part-Time),Membre (Temps Partiel),Yvonne Chornobay,2020-09-02,2023-09-01T00:00:00,Whitby
3454,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Durham, Haliburton, Kawartha and Pine Ridge - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Durham, Haliburton, Kawartha Et Pine Ridge - Fondat",Member (Part-Time),Membre (Temps Partiel),Stephanie Ball,2020-09-18,2023-09-17T00:00:00,Whitby
3455,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Durham, Haliburton, Kawartha and Pine Ridge - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Durham, Haliburton, Kawartha Et Pine Ridge - Fondat",Member (Part-Time),Membre (Temps Partiel),Terrance Johnston,2020-09-18,2023-09-17T00:00:00,Whitby
3456,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Durham, Haliburton, Kawartha and Pine Ridge - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Durham, Haliburton, Kawartha Et Pine Ridge - Fondat",Member (Part-Time),Membre (Temps Partiel),Roberto Albis,2020-11-10,2023-11-09T00:00:00,Ashburn
3457,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Durham, Haliburton, Kawartha and Pine Ridge - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Durham, Haliburton, Kawartha Et Pine Ridge - Fondat",Member (Part-Time),Membre (Temps Partiel),Anne McCaughey,2022-02-25,2025-02-24T00:00:00,Cobourg
3458,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Durham, Haliburton, Kawartha and Pine Ridge - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Durham, Haliburton, Kawartha Et Pine Ridge - Fondat",Member (Part-Time),Membre (Temps Partiel),elaine sheppard,2022-02-25,2025-02-24T00:00:00,port hope
3459,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Durham, Haliburton, Kawartha and Pine Ridge - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Durham, Haliburton, Kawartha Et Pine Ridge - Fondat",Member (Part-Time),Membre (Temps Partiel),Paul Rosebush,2022-02-25,2025-02-24T00:00:00,Cavan Monaghan
3460,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Durham, Haliburton, Kawartha and Pine Ridge - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Durham, Haliburton, Kawartha Et Pine Ridge - Fondat",Member (Part-Time),Membre (Temps Partiel),Thomas Rittwage,2022-02-25,2025-02-24T00:00:00,Brighton
3461,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Durham, Haliburton, Kawartha and Pine Ridge - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Durham, Haliburton, Kawartha Et Pine Ridge - Fondat",Member (Part-Time),Membre (Temps Partiel),Helen Ecker,2022-02-28,2025-02-27T00:00:00,Whitby
3462,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Durham, Haliburton, Kawartha and Pine Ridge - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Durham, Haliburton, Kawartha Et Pine Ridge - Fondat",Member (Part-Time),Membre (Temps Partiel),David Richardson,2022-03-02,2025-03-01T00:00:00,Uxbridge
3463,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Durham, Haliburton, Kawartha and Pine Ridge - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Durham, Haliburton, Kawartha Et Pine Ridge - Fondat",Member (Part-Time),Membre (Temps Partiel),Klara Oyler,2022-03-02,2025-03-01T00:00:00,Haliburton
3464,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Durham, Haliburton, Kawartha and Pine Ridge - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Durham, Haliburton, Kawartha Et Pine Ridge - Fondat",Member (Part-Time),Membre (Temps Partiel),Patrick Molloy,2022-03-02,2025-03-01T00:00:00,Zephyr
3465,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Durham, Haliburton, Kawartha and Pine Ridge - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Durham, Haliburton, Kawartha Et Pine Ridge - Fondat",Member (Part-Time),Membre (Temps Partiel),Cyndie Paul-Girdwood,2022-04-11,2025-04-10T00:00:00,Havelock
3466,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Durham, Haliburton, Kawartha and Pine Ridge - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Durham, Haliburton, Kawartha Et Pine Ridge - Fondat",Member (Part-Time),Membre (Temps Partiel),Thomas Wall,2022-04-11,2025-04-10T00:00:00,Whitby
3467,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Durham, Haliburton, Kawartha and Pine Ridge - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Durham, Haliburton, Kawartha Et Pine Ridge - Fondat",Member (Part-Time),Membre (Temps Partiel),Savona Gangadeen,2022-11-24,2025-11-23T00:00:00,Ajax
3468,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Essex, Kent and Lambton - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Essex, Kent Et Lambton - Fondation Trillium De L'on",Chair (Part-Time),Présidence (Temps Partiel),James McGugan,2022-04-11,2023-04-10T00:00:00,Alvinston
3469,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Essex, Kent and Lambton - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Essex, Kent Et Lambton - Fondation Trillium De L'on",Member (Part-Time),Membre (Temps Partiel),Lutz Plotzke,2020-05-27,2023-05-26T00:00:00,Chatham
3470,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Essex, Kent and Lambton - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Essex, Kent Et Lambton - Fondation Trillium De L'on",Member (Part-Time),Membre (Temps Partiel),Fannie Vavoulis,2020-08-10,2023-08-09T00:00:00,Chatham
3471,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Essex, Kent and Lambton - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Essex, Kent Et Lambton - Fondation Trillium De L'on",Member (Part-Time),Membre (Temps Partiel),Shawn Newman,2020-08-10,2023-08-09T00:00:00,Chatham
3472,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Essex, Kent and Lambton - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Essex, Kent Et Lambton - Fondation Trillium De L'on",Member (Part-Time),Membre (Temps Partiel),Christopher Case,2020-09-02,2023-09-01T00:00:00,Chatham
3473,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Essex, Kent and Lambton - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Essex, Kent Et Lambton - Fondation Trillium De L'on",Member (Part-Time),Membre (Temps Partiel),Christine Greydanus,2020-09-18,2023-09-17T00:00:00,Petrolia
3474,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Essex, Kent and Lambton - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Essex, Kent Et Lambton - Fondation Trillium De L'on",Member (Part-Time),Membre (Temps Partiel),Judith Morris,2020-09-18,2023-09-17T00:00:00,SARNIA
3475,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Essex, Kent and Lambton - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Essex, Kent Et Lambton - Fondation Trillium De L'on",Member (Part-Time),Membre (Temps Partiel),Scott Duquette,2021-03-23,2024-03-22T00:00:00,Windsor
3476,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Essex, Kent and Lambton - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Essex, Kent Et Lambton - Fondation Trillium De L'on",Member (Part-Time),Membre (Temps Partiel),Tony Francis,2021-03-23,2024-03-22T00:00:00,Windsor
3477,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport","Grant Review Team - Essex, Kent and Lambton - Ontario Trillium Foundation","Équipe D'évaluation Des Demandes De Subvention - Essex, Kent Et Lambton - Fondation Trillium De L'on",Member (Part-Time),Membre (Temps Partiel),James McGugan,2022-04-11,2025-04-10T00:00:00,Alvinston
3478,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Grant Review Team - Grand River - Ontario Trillium Foundation,Équipe D'évaluation Des Demandes De Subvention - Grand River - Fondation Trillium De L'ontario,Chair (Part-Time),Présidence (Temps Partiel),Richard Sterne,2022-02-25,2023-02-24T00:00:00,Brantford
3479,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Grant Review Team - Grand River - Ontario Trillium Foundation,Équipe D'évaluation Des Demandes De Subvention - Grand River - Fondation Trillium De L'ontario,Member (Part-Time),Membre (Temps Partiel),Roderick Walker,2020-03-13,2023-03-12T00:00:00,Simcoe
3480,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Grant Review Team - Grand River - Ontario Trillium Foundation,Équipe D'évaluation Des Demandes De Subvention - Grand River - Fondation Trillium De L'ontario,Member (Part-Time),Membre (Temps Partiel),Jennifer White,2020-04-21,2023-04-20T00:00:00,Brantford
3481,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Grant Review Team - Grand River - Ontario Trillium Foundation,Équipe D'évaluation Des Demandes De Subvention - Grand River - Fondation Trillium De L'ontario,Member (Part-Time),Membre (Temps Partiel),Larry Gaertner,2020-04-21,2023-04-20T00:00:00,Vittoria
3482,"Tourism, Culture and Sport","Ministère du Tourisme, de la Culture et du Sport",Grant Review Team - Grand River - Ontario Trillium Foundation,Équipe D'évaluation Des Demandes De Subvention - Grand River - Fondation Trillium De L'ontario,Member (Part-Time),Membre (Temps Partiel),Keith Robicheau,2020-05-27,2023-05-26T00:00:00,Simcoe
