 Amount ,Ministry,Category,Payment Detail,Recipient,Statutory,Additional Detail
" $176,346 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Wellington County Learning Centre,No Value,No Value
" $179,802 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Wikwemikong Development Commission,No Value,No Value
" $1,907,681 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Wil Counselling And Training For Employment,No Value,No Value
" $920,002 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Windmill Microlending,No Value,No Value
" $459,230 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Windsor Centre For Film Digital Media & The Creative Arts,No Value,No Value
" $680,091 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Windsor Women Working With Immigrant Women,No Value,No Value
" $234,911 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Windsor-Essex Catholic District School Board,No Value,No Value
" $251,432 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Women's Employment Resource Centre Of Oxford County,No Value,No Value
" $861,322 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Women's Enterprise Skills Training Of Windsor Inc,No Value,No Value
" $752,250 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Wood Manufacturing Council (Wmc Cfb),No Value,No Value
" $5,263,023 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Woodgreen Community Services,No Value,No Value
" $222,033 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Work-Based Learning Consortium,No Value,No Value
" $9,245,860 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Workers Health & Safety Centre,No Value,No Value
" $565,675 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Workforce Development Board,No Value,No Value
" $544,290 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Workforce Development Board Windsor Essex,No Value,No Value
" $1,302,748 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Workforce Planning Board Of Grand Erie,No Value,No Value
" $497,847 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Workforce Planning Board Of Waterloo Wellington Dufferin,No Value,No Value
" $280,000 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Workforce Planning Hamilton/Planification De Main D'Oeuvre De Hamilton,No Value,No Value
" $200,868,888 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Workplace Safety & Insurance Board,No Value,No Value
" $29,612,686 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Workplace Safety & Prevention Services (Wsps),No Value,No Value
" $14,997,214 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Workplace Safety North,No Value,No Value
" $2,550,781 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Yes Employment Services (Thunder Bay),No Value,No Value
" $3,553,868 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Yes Employment Services Inc (Nipissing),No Value,No Value
" $16,925,437 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Ymca Of Greater Toronto,No Value,No Value
" $3,228,160 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Ymca Of Hamilton/Burlington/Brantford,No Value,No Value
" $1,102,016 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Ymca Of Niagara,No Value,No Value
" $2,806,264 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Ymca Of Northeastern Ontario,No Value,No Value
" $2,320,711 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Ymca Of Simcoe/Muskoka,No Value,No Value
" $1,985,111 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Ymca Of Three Rivers (Midwestern Ontario),No Value,No Value
" $7,072,770 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,York Catholic District School Board,No Value,No Value
" $2,587,222 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,York Region District School Board,No Value,No Value
" $252,000 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,York South Simcoe Training & Adjustment Board Inc,No Value,No Value
" $472,057 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,York University,No Value,No Value
" $3,843,270 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Young Women's Christian Association Of Greater Toronto (Ywca),No Value,No Value
" $176,213 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Young Women's Christian Association Of St Thomas (O/A Ywca Of St Thomas-Elgin),No Value,No Value
" $536,733 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Youth Culture Inc,No Value,No Value
" $2,845,490 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Youth Employment Assistance Headquarters Inc,No Value,No Value
" $204,272 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Youth Employment Centre - Bold Street,No Value,No Value
" $8,632,377 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Youth Employment Services (Yes),No Value,No Value
" $3,556,785 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Youth Habilitation Quinte Inc,No Value,No Value
" $1,991,131 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Youth Opportunities Unlimited,No Value,No Value
" $6,140,910 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,Youth Services Bureau Of Ottawa/Bureau Des Services A La Jeunesse D'Ottawa,No Value,No Value
" $94,833,119 ","Ministry Of Labour, Training And Skills Development",Transfer Payments,No Value,"Accounts Under $120,000",No Value,No Value
" $307,368 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Acuren Group Inc,No Value,No Value
" $217,141 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Anderson Arbitration Inc,No Value,No Value
" $2,168,018 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Bluedrop Learning Networks Inc,No Value,No Value
" $168,750 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Bram Herlich,No Value,No Value
" $134,736 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Brenntag Canada Inc,No Value,No Value
" $194,939 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Brian Mclean,No Value,No Value
" $67,762 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Canacom,No Value,No Value
" $61,292 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Canada Post Corporation,No Value,No Value
" $75,004 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Canadian Standards Association Group (Csa Group),No Value,No Value
" $84,750 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Centre For Conflict Resolution International Ltd (Ccril),No Value,No Value
" $776,382 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Chant Engineering Company Inc,No Value,No Value
" $167,814 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Cibc Trust Corporation,No Value,No Value
" $185,993 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Dale Hewat,No Value,No Value
" $83,950 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Daniel A Harris,No Value,No Value
" $261,261 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Diane Gee Arbitrations,No Value,No Value
" $292,876 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Diligen Inc,No Value,No Value
" $67,870 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Esri Canada Ltd,No Value,No Value
" $53,309 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Gail Misra Mediation Arbitration Inc,No Value,No Value
" $255,187 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Goss Gilroy Inc,No Value,No Value
" $554,458 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Government Of The Northwest Territories,No Value,No Value
" $467,888 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Ipsos Lp,No Value,No Value
" $59,302 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Jason Ottey,No Value,No Value
" $110,098 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Joseph D. Carrier,No Value,No Value
" $270,753 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Ken Petryshen,No Value,No Value
" $119,934 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Kevin Banks Arbitration And Mediation Inc,No Value,No Value
" $785,647 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Kpmg Llp,No Value,No Value
" $184,977 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Law Society Of Upper Canada,No Value,No Value
" $336,885 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Leica Geosystems Ltd,No Value,No Value
" $105,687 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Leighton Arbitrations Inc,No Value,No Value
" $75,321 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Levitt Safety Limited,No Value,No Value
" $63,347 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Lexisnexis Canada Inc,No Value,No Value
" $192,809 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Lifeworks Canada Ltd,No Value,No Value
" $105,605 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Marilyn Nairn,No Value,No Value
" $75,000 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Minister Of Finance Of New Brunswick,No Value,No Value
" $101,700 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Mocsy Inc,No Value,No Value
" $349,703 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Nimal Dissanayake,No Value,No Value
" $363,948 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Novexco Inc,No Value,No Value
" $13,769,040 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Ontario Infrastructure And Lands Corporation,No Value,No Value
" $60,227 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Paragon Protection Ltd,No Value,No Value
" $325,814 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Perkinelmer Health Sciences Canada Inc,No Value,No Value
" $448,808 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Public Services Health And Safety Association,No Value,No Value
" $92,390 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Purolator Courier Ltd,No Value,No Value
" $120,787 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Receiver General Of Canada,No Value,No Value
" $160,189 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Reva Devins Dispute Resolution Inc,No Value,No Value
" $232,005 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Ricoh Canada Inc,No Value,No Value
" $929,176 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Rogers Communications Canada Inc,No Value,No Value
" $91,049 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Rtg Protech Inc,No Value,No Value
" $109,836 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Run Straight Consulting Ltd,No Value,No Value
" $916,121 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Shore Consulting Group Inc,No Value,No Value
" $195,377 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Simple Vote Inc/Simply Voting Inc,No Value,No Value
" $56,044 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Staples Inc,No Value,No Value
" $60,432 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Stephens Arbitration Inc,No Value,No Value
" $247,962 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Strider Resource (Div Of O'Rourke Marketing Corp Ltd),No Value,No Value
" $437,536 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Technical Standards & Safety Authority,No Value,No Value
" $78,309 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Terra Nova Transcription Inc,No Value,No Value
" $85,601 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,The Uniform Group Inc,No Value,No Value
" $117,937 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Triton Canada Inc,No Value,No Value
" $302,809 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Van Valkenburg Communications,No Value,No Value
" $180,407 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Wacyk Adr Inc,No Value,No Value
" $77,970 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Weiss International Ltd,No Value,No Value
" $51,980 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Welch Llp,No Value,No Value
" $184,710 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Williamson Arbitration Services,No Value,No Value
" $353,327 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,Workplace Safety And Insurance Appeals Tribunal,No Value,No Value
" $3,940,860 ","Ministry Of Labour, Training And Skills Development",Other Payments,No Value,"Accounts Under $50,000",No Value,No Value
" $49,301 ","Ministry Of Labour, Training And Skills Development",Statutory Payments,Minister's Salary,Hon. Monte Mcnaughton/L'Honorable Monte Mcnaughton,Executive Council Act,"April 1, 2021 To March 31, 2022"
" $3,565 ","Ministry Of Labour, Training And Skills Development",Statutory Payments,Parliamentary Assistant's Salary,Jane Mckenna,Executive Council Act,"April 1, 2021 To June 17, 2021"
" $12,142 ","Ministry Of Labour, Training And Skills Development",Statutory Payments,Parliamentary Assistant's Salary,Deepak Anand,Executive Council Act,"July 9, 2021 To March 31, 2022"
" $27,695 ",Office Of The Lieutenant Governor,Salaries And Wages,Temporary Help Services,"Accounts Under $50,000",No Value,No Value
 $17 ,Office Of The Lieutenant Governor,Travel Expenses,No Value,"Accounts Under $10,000",No Value,No Value
" $185,465 ",Office Of The Lieutenant Governor,Other Payments,No Value,"Accounts Under $50,000",No Value,No Value
" $155,800 ",Office Of The Lieutenant Governor,Other Payments,No Value,Lieutenant Governor's Discretionary Allowance,No Value,No Value
" $57,688 ",Ministry Of Long-Term Care,Salaries And Wages,Other Salaries And Wages,Legislative Assembly Of Ontario,No Value,No Value
 $379 ,Ministry Of Long-Term Care,Employee Benefits,No Value,"Accounts Under $50,000",No Value,No Value
" $1,534 ",Ministry Of Long-Term Care,Travel Expenses,No Value,Hon. Rod Phillips,No Value,No Value
" $10,367 ",Ministry Of Long-Term Care,Travel Expenses,No Value,"Ballance, Julie Ann",No Value,No Value
" $14,127 ",Ministry Of Long-Term Care,Travel Expenses,No Value,"Belanger, Amanda Lee Claire",No Value,No Value
" $12,084 ",Ministry Of Long-Term Care,Travel Expenses,No Value,"Boucher, Tiffany H.",No Value,No Value
" $11,100 ",Ministry Of Long-Term Care,Travel Expenses,No Value,"Byberg, Kimberly Lyn",No Value,No Value
" $13,252 ",Ministry Of Long-Term Care,Travel Expenses,No Value,"Byrnes, Sylvie",No Value,No Value
" $11,354 ",Ministry Of Long-Term Care,Travel Expenses,No Value,"Camps, Chad Anthony",No Value,No Value
" $11,656 ",Ministry Of Long-Term Care,Travel Expenses,No Value,"Churcher, Debra",No Value,No Value
" $10,121 ",Ministry Of Long-Term Care,Travel Expenses,No Value,"Cronin, Keara Leigh Geraldine",No Value,No Value
" $10,077 ",Ministry Of Long-Term Care,Travel Expenses,No Value,"Desabrais, Helene",No Value,No Value
" $10,728 ",Ministry Of Long-Term Care,Travel Expenses,No Value,"Evans, Janet",No Value,No Value
" $14,590 ",Ministry Of Long-Term Care,Travel Expenses,No Value,"Geauvreau, Amy",No Value,No Value
" $13,266 ",Ministry Of Long-Term Care,Travel Expenses,No Value,"Hill, Karen L",No Value,No Value
" $10,353 ",Ministry Of Long-Term Care,Travel Expenses,No Value,"Lafreniere, Chantal Dorine",No Value,No Value
" $11,085 ",Ministry Of Long-Term Care,Travel Expenses,No Value,"Naccarato, Steven Camillo",No Value,No Value
" $10,109 ",Ministry Of Long-Term Care,Travel Expenses,No Value,"Schaefer, David",No Value,No Value
" $13,105 ",Ministry Of Long-Term Care,Travel Expenses,No Value,"Villaspir, Romela",No Value,No Value
" $611,015 ",Ministry Of Long-Term Care,Travel Expenses,No Value,"Accounts Under $10,000",No Value,No Value
" $105,292,617 ",Ministry Of Long-Term Care,Transfer Payments,No Value,0760444 Bc Ltd As General Partner On Behalf Of Omni Health Care Limited Partnership,No Value,No Value
" $11,136,851 ",Ministry Of Long-Term Care,Transfer Payments,No Value,1245556 Ontario Inc,No Value,No Value
" $10,092,579 ",Ministry Of Long-Term Care,Transfer Payments,No Value,1895357 Ontario Inc,No Value,No Value
" $230,316,424 ",Ministry Of Long-Term Care,Transfer Payments,No Value,2063414 Investment Lp (O/A Leisureworld),No Value,No Value
" $3,953,381 ",Ministry Of Long-Term Care,Transfer Payments,No Value,2629693 Ontario Inc,No Value,No Value
" $4,832,971 ",Ministry Of Long-Term Care,Transfer Payments,No Value,412506 Ontario Ltd,No Value,No Value
" $4,754,163 ",Ministry Of Long-Term Care,Transfer Payments,No Value,458422 Ontario Ltd,No Value,No Value
" $10,368,648 ",Ministry Of Long-Term Care,Transfer Payments,No Value,488491 Ontario Inc - Avalon Care Centre,No Value,No Value
" $4,780,113 ",Ministry Of Long-Term Care,Transfer Payments,No Value,584482 Ontario Inc (O/A Manitoulin Lodge),No Value,No Value
" $8,452,203 ",Ministry Of Long-Term Care,Transfer Payments,No Value,859530 Ontario Inc,No Value,No Value
" $23,575,014 ",Ministry Of Long-Term Care,Transfer Payments,No Value,955464 Ontario Limited,No Value,No Value
" $13,362,295 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Advent Health Care Corporation,No Value,No Value
" $15,916,463 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Albright Gardens Homes Incorporated,No Value,No Value
" $9,789,227 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Alexander Place,No Value,No Value
" $500,000 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Algoma District Services Administration Board,No Value,No Value
" $8,230,978 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Algoma Manor Nursing Home,No Value,No Value
" $5,912,693 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Algonquin Nursing Home Of Mattawa,No Value,No Value
" $8,061,040 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Almonte General Hospital,No Value,No Value
" $5,284,093 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Anson General Hospital,No Value,No Value
" $18,861,777 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Arch Long Term Care Lp,No Value,No Value
" $5,596,264 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Arnprior Regional Health,No Value,No Value
" $21,073,719 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Atk Care Group Ltd,No Value,No Value
" $3,788,512 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Autumnwood Mature Lifestyle Communities,No Value,No Value
" $182,599,671 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Axr Operating (National) Lp,No Value,No Value
" $4,772,665 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Babcock Community Care Centre Inc - Babcock Nursing And Rest Homes Ltc,No Value,No Value
" $7,855,060 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Barton Retirement Inc,No Value,No Value
" $4,717,029 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Bay Haven Nursing Home,No Value,No Value
" $38,095,440 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Baycrest Centre For Geriatric Care,No Value,No Value
" $10,602,057 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Baywoods Place Operating Inc (O/A Baywoods Place),No Value,No Value
" $500,000 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Beausoleil First Nation,No Value,No Value
" $9,711,034 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Belcrest Nursing Homes Ltd,No Value,No Value
" $4,744,569 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Bennett Village,No Value,No Value
" $13,438,010 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Bethany Lodge,No Value,No Value
" $6,810,476 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Better Life Ltc Inc,No Value,No Value
" $10,030,894 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Better Living At Thompson House,No Value,No Value
" $6,015,633 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Blackadar Continuing Care Centre,No Value,No Value
" $5,472,070 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Blue Water Rest Home,No Value,No Value
" $7,187,974 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Board Of Management For The District Of Parry Sound West Home For The Aged,No Value,No Value
" $10,101,366 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Board Of Management For The Home For The Aged West Nipissing,No Value,No Value
" $6,476,295 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Board Of Management Of The District Kenora,No Value,No Value
" $6,456,823 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Braemer Retirement Centre,No Value,No Value
" $14,365,341 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Broadview Foundation,No Value,No Value
" $5,510,102 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Broadview Nursing Centre Ltd,No Value,No Value
" $4,546,248 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Brouillette Manor,No Value,No Value
" $24,512,799 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Bruyere Continuing Care Inc,No Value,No Value
" $2,465,354 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Capricorn Investments Corporation Limited (O/A Elgin Abbey),No Value,No Value
" $109,789,474 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Caressant-Care Nursing And Retirement Homes Ltd,No Value,No Value
" $26,943,630 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Carlingview Manor Operating Inc (O/A Carlingview Manor),No Value,No Value
" $8,551,255 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Carveth Nursing Home Ltd,No Value,No Value
" $18,047,831 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Cedarvale Terrace Ltc Limited Partnership,No Value,No Value
" $10,658,567 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Centennial Place Millbrook Inc,No Value,No Value
" $10,102,948 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Central Canadian District Christian & Missionary Alliance - Cama Woodlands,No Value,No Value
" $8,791,382 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Centre D'Accueil Roger Seguin,No Value,No Value
" $90,860,797 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Chartwell Master Care Lp,No Value,No Value
" $12,257,452 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Chippawa Creek Care Centre Ltd,No Value,No Value
" $485,800 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Chippewas Of Rama First Nation,No Value,No Value
" $10,069,837 ",Ministry Of Long-Term Care,Transfer Payments,No Value,City Of Cornwall,No Value,No Value
" $36,788,849 ",Ministry Of Long-Term Care,Transfer Payments,No Value,City Of Greater Sudbury,No Value,No Value
" $8,778,263 ",Ministry Of Long-Term Care,Transfer Payments,No Value,City Of Guelph,No Value,No Value
" $35,177,578 ",Ministry Of Long-Term Care,Transfer Payments,No Value,City Of Hamilton,No Value,No Value
" $12,432,743 ",Ministry Of Long-Term Care,Transfer Payments,No Value,City Of Kawartha Lakes,No Value,No Value
" $11,593,112 ",Ministry Of Long-Term Care,Transfer Payments,No Value,City Of Kingston,No Value,No Value
" $69,549,186 ",Ministry Of Long-Term Care,Transfer Payments,No Value,City Of Ottawa,No Value,No Value
" $10,069,809 ",Ministry Of Long-Term Care,Transfer Payments,No Value,City Of St Thomas,No Value,No Value
" $12,940,721 ",Ministry Of Long-Term Care,Transfer Payments,No Value,City Of Thunder Bay,No Value,No Value
" $11,647,995 ",Ministry Of Long-Term Care,Transfer Payments,No Value,City Of Timmins,No Value,No Value
" $247,639,424 ",Ministry Of Long-Term Care,Transfer Payments,No Value,City Of Toronto,No Value,No Value
" $7,604,874 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Clarion Nursing Home,No Value,No Value
" $4,933,211 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Clurelea Ltd,No Value,No Value
" $107,577,100 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Colleges Ontario,No Value,No Value
" $5,112,373 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Collingwood Nursing Home Ltd,No Value,No Value
" $22,376,786 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Copernicus Lodge Inc,No Value,No Value
" $10,522,171 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Copper Terrace Limited,No Value,No Value
" $9,594,157 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Corporation Of Haldimand County,No Value,No Value
" $19,789,466 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Corporation Of The County Of Bruce,No Value,No Value
" $12,884,099 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Corporation Of The County Of Northumberland,No Value,No Value
" $65,056,040 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Corporation Of The County Of Simcoe,No Value,No Value
" $13,770,572 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Corporation Of The County Of Wellington,No Value,No Value
" $1,173,900 ",Ministry Of Long-Term Care,Transfer Payments,No Value,County Of Brant,No Value,No Value
" $12,229,472 ",Ministry Of Long-Term Care,Transfer Payments,No Value,County Of Dufferin,No Value,No Value
" $19,175,610 ",Ministry Of Long-Term Care,Transfer Payments,No Value,County Of Elgin,No Value,No Value
" $12,425,779 ",Ministry Of Long-Term Care,Transfer Payments,No Value,County Of Frontenac,No Value,No Value
" $27,569,030 ",Ministry Of Long-Term Care,Transfer Payments,No Value,County Of Grey,No Value,No Value
" $1,000,000 ",Ministry Of Long-Term Care,Transfer Payments,No Value,County Of Haliburton,No Value,No Value
" $28,651,410 ",Ministry Of Long-Term Care,Transfer Payments,No Value,County Of Hastings,No Value,No Value
" $13,728,055 ",Ministry Of Long-Term Care,Transfer Payments,No Value,County Of Huron,No Value,No Value
" $26,266,477 ",Ministry Of Long-Term Care,Transfer Payments,No Value,County Of Lambton,No Value,No Value
" $1,000,000 ",Ministry Of Long-Term Care,Transfer Payments,No Value,County Of Lanark,No Value,No Value
" $13,889,209 ",Ministry Of Long-Term Care,Transfer Payments,No Value,County Of Lanark (Lanark Lodge),No Value,No Value
" $12,506,787 ",Ministry Of Long-Term Care,Transfer Payments,No Value,County Of Lennox And Addington,No Value,No Value
" $12,869,846 ",Ministry Of Long-Term Care,Transfer Payments,No Value,County Of Middlesex,No Value,No Value
" $16,790,793 ",Ministry Of Long-Term Care,Transfer Payments,No Value,County Of Oxford,No Value,No Value
" $743,800 ",Ministry Of Long-Term Care,Transfer Payments,No Value,County Of Perth,No Value,No Value
" $1,497,500 ",Ministry Of Long-Term Care,Transfer Payments,No Value,County Of Peterborough,No Value,No Value
" $5,893,502 ",Ministry Of Long-Term Care,Transfer Payments,No Value,County Of Prince Edward,No Value,No Value
" $26,185,851 ",Ministry Of Long-Term Care,Transfer Payments,No Value,County Of Renfrew,No Value,No Value
" $6,471,959 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Craigwiel Gardens,No Value,No Value
" $15,257,432 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Crown Ridge Health Care Services Inc,No Value,No Value
" $22,945,691 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Cvh (No 3) Gp Inc,No Value,No Value
" $8,418,774 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Cvh (No 5) Gp Inc,No Value,No Value
" $54,879,050 ",Ministry Of Long-Term Care,Transfer Payments,No Value,Cvh (No 6) Gp Inc As General Partner Of Cvh (No 6) Lp,No Value,No Value
